F01,TIVOLI GARDEN,FAMILY AND FUN,type=family
F02,"NATIONAL AQUARIUM DENMARK, DEN BLÅ PLANET",FAMILY AND FUN,type=family
F03,CASINO COPENHAGEN,FAMILY AND FUN,type=fun
F04,EXPERIMENTARIUM,FAMILY AND FUN,type=family
F05,ZOOLOGICAL MUSEUM (THE NATURAL HISTORY MUSEUM OF DENMARK),FAMILY AND FUN,type=family
F06,COPENHAGEN ZOO,FAMILY AND FUN,type=family
F07,FALKONERGÅRDEN,FAMILY AND FUN,type=family
F08,H.C. ANDERSEN FAIRY-TALE HOUSE,FAMILY AND FUN,type=family
F09,TYCHO BRAHE PLANETARIUM,FAMILY AND FUN,type=family
F10,CIRCUS MUSEUM,FAMILY AND FUN,type=family
A01,DANISH ARCHITECTURE CENTER,ART AND DESIGN,type=art
A02,GL HOLTEGAARD,ART AND DESIGN,type=art
A03,KUNSTHAL CHARLOTTENBORG,ART AND DESIGN,type=art
A04,AMBER MUSEUM COPENHAGEN,ART AND DESIGN,type=art
A05,ARKEN MUSEUM OF MODERN ART,ART AND DESIGN,type=art
A06,BREDE WORKS,ART AND DESIGN,type=art
A07,DANISH ARCHITECTURE CENTRE,ART AND DESIGN,type=art
A08,DEN FRIE CENTRE OF CONTEMPORARY ART,ART AND DESIGN,type=art
A09,DESIGN MUSEUM DANMARK,ART AND DESIGN,type=art
A10,GLYPTOTEKET,ART AND DESIGN,type=art
A11,J.F. WILLUMSENS MUSEUM,ART AND DESIGN,type=art
A12,KUNSTHAL CHARLOTTENBORG,ART AND DESIGN,type=art
A13,KØS MUSEUM OF ART IN PUBLIC SPACES,ART AND DESIGN,type=art
A14,LOUISIANA MUSEUM OF MODERN ART,ART AND DESIGN,type=art
S01,CANAL TOUR COPENHAGEN,SIGHTSEEING TOURS,type=sight
S02,VISIT CARLSBERG,SIGHTSEEING TOURS,type=sight
S03,BAADFARTEN - BOAT TOURS,SIGHTSEEING TOURS,type=sight
S04,CHURCH OF OUR SAVIOUR,SIGHTSEEING TOURS,type=sight
S05,COPENHAGEN TRAIN TOURS,SIGHTSEEING TOURS,type=sight
S06,THE NETTO BOATS,SIGHTSEEING TOURS,type=sight
H01,THE NATIONAL MUSEUM,HISTORY,type=history
H02,BAKKEHUSET,HISTORY,type=history
H03,ESRUM ABBEY AND MØLLEGÅRD,HISTORY,type=history
H04,FREDERIKSSUND MUSEUM,HISTORY,type=history
H05,HELSINGØR TOWN MUSEUM,HISTORY,type=history
H06,THE VICTORIAN HOME,HISTORY,type=history
H07,CITY HALL TOWER,HISTORY,type=history
H08,GEOLOGICAL MUSEUM,HISTORY,type=history
H09,KAREN BLIXEN MUSEUM,HISTORY,type=history
H10,KØGE MUSEUM,HISTORY,type=history
H11,LEJRE LAND OF LEGENDS,HISTORY,type=history
H12,LEJRE MUSEUM,HISTORY,type=history
H13,M/S MARITIME MUSEUM OF DENMARK,HISTORY,type=history
R01,ROSENBORG CASTLE,ROYAL,type=royal
R02,AMALIENBORG,ROYAL,type=royal
R03,CHRISTIANSBORG,ROYAL,type=royal
R04,KRONBORG CASTLE,ROYAL,type=royal
R05,FREDERIKSBORG CASTLE,ROYAL,type=royal
R06,JÆGERSPRIS CASTLE,ROYAL,type=royal